id,barangay_name,city_id
1,Adams (Pob.),1
2,Bani,2
3,Buyon,2
4,Cabaruan,2
5,Cabulalaan,2
6,Cabusligan,2
7,Cadaratan,2
8,Calioet-Libong,2
9,Casilian,2
10,Corocor,2
11,Duripes,2
12,Ganagan,2
13,Libtong,2
14,Macupit,2
15,Nambaran,2
16,Natba,2
17,Paninaan,2
18,Pasiocan,2
19,Pasngal,2
20,Pipias,2
21,Pulangi,2
22,Pungto,2
23,San Agustin I (Pob.),2
24,San Agustin II (Pob.),2
25,San Andres I (Pob.),2
26,San Andres II (Pob.),2
27,San Gabriel I (Pob.),2
28,San Gabriel II (Pob.),2
29,San Pedro I (Pob.),2
30,San Pedro II (Pob.),2
31,San Roque I (Pob.),2
32,San Roque II (Pob.),2
33,San Simon I (Pob.),2
34,San Simon II (Pob.),2
35,San Vicente (Pob.),2
36,Sangil,2
37,Santa Filomena I (Pob.),2
38,Santa Filomena II (Pob.),2
39,Santa Rita (Pob.),2
40,Santo Cristo I (Pob.),2
41,Santo Cristo II (Pob.),2
42,Tambidao,2
43,Teppang,2
44,Tubburan,2
45,Alay-Nangbabaan (Alay 15-B),3
46,Alogoog,3
47,Ar-arusip,3
48,Aring,3
49,Balbaldez,3
50,Bato,3
51,Camanga,3
52,Canaan (Pob.),3
53,Caraitan,3
54,Gabut Norte,3
55,Gabut Sur,3
56,Garreta (Pob.),3
57,Labut,3
58,Lacuben,3
59,Lubigan,3
60,Mabusag Norte,3
61,Mabusag Sur,3
62,Madupayas,3
63,Morong,3
64,Nagrebcan,3
65,Napu,3
66,La Virgen Milagrosa (Paguetpet),3
67,Pagsanahan Norte,3
68,Pagsanahan Sur,3
69,Paltit,3
70,Parang,3
71,Pasuc,3
72,Santa Cruz Norte,3
73,Santa Cruz Sur,3
74,Saud,3
75,Turod,3
76,Abaca,4
77,Bacsil,4
78,Banban,4
79,Baruyen,4
80,Dadaor,4
81,Lanao,4
82,Malasin,4
83,Manayon,4
84,Masikil,4
85,Nagbalagan,4
86,Payac,4
87,San Lorenzo (Pob.),4
88,Taguiporo,4
89,Utol,4
90,Aglipay (Pob.),5
91,Baay,5
92,Baligat,5
93,Bungon,5
94,Baoa East,5
95,Baoa West,5
96,Barani (Pob.),5
97,Ben-agan (Pob.),5
98,Bil-loca,5
99,Biningan,5
100,Callaguip (Pob.),5
101,Camandingan,5
102,Camguidan,5
103,Cangrunaan (Pob.),5
104,Capacuan,5
105,Caunayan (Pob.),5
106,Valdez Pob. (Caoayan),5
107,Colo,5
108,Pimentel (Cubol),5
109,Dariwdiw,5
110,Acosta Pob. (Iloilo),5
111,Ablan Pob. (Labucao),5
112,Lacub (Pob.),5
113,Mabaleng,5
114,Magnuang,5
115,Maipalig,5
116,Nagbacalan,5
117,Naguirangan,5
118,Ricarte Pob. (Nalasin),5
119,Palongpong,5
120,Palpalicong (Pob.),5
121,Parangopong,5
122,Payao,5
123,Quiling Norte,5
124,Quiling Sur,5
125,Quiom,5
126,Rayuray,5
127,San Julian (Pob.),5
128,San Mateo,5
129,San Pedro,5
130,Suabit (Pob.),5
131,Sumader,5
132,Tabug,5
133,Ablan Sarat,6
134,Agaga,6
135,Bayog,6
136,Bobon,6
137,Buduan (Malituek),6
138,Nagsurot,6
139,Paayas,6
140,Pagali,6
141,Poblacion,6
142,Saoit,6
143,Tanap,6
144,Angset,7
145,Barbaqueso (Pob.),7
146,Virbira,7
147,Anggapang Norte,8
148,Anggapang Sur,8
149,Bimmanga,8
150,Cabuusan,8
151,Comcomloong,8
152,Gaang,8
153,Lang-ayan-Baramban,8
154,Lioes,8
155,Maglaoi Centro,8
156,Maglaoi Norte,8
157,Maglaoi Sur,8
158,Paguludan-Salindeg,8
159,Pangil,8
160,Pias Norte,8
161,Pias Sur,8
162,Poblacion I,8
163,Poblacion II,8
164,Salugan,8
165,San Simeon,8
166,Santa Cruz,8
167,Tapao-Tigue,8
168,Torre,8
169,Victoria,8
170,Albano (Pob.),9
171,Bacsil,9
172,Bagut,9
173,Parado (Bangay),9
174,Baresbes,9
175,Barong,9
176,Bungcag,9
177,Cali,9
178,Capasan,9
179,Dancel (Pob.),9
180,Foz,9
181,Guerrero (Pob.),9
182,Lanas,9
183,Lumbad,9
184,Madamba (Pob.),9
185,Mandaloque,9
186,Medina,9
187,Ver (Naglayaan),9
188,San Marcelino (Padong),9
189,Puruganan (Pob.),9
190,Peralta (Pob.),9
191,Root (Baldias),9
192,Sagpatan,9
193,Saludares,9
194,San Esteban,9
195,Espiritu,9
196,Sulquiano (Sidiran),9
197,San Francisco (Surrate),9
198,Suyo,9
199,San Marcos,9
200,Elizabeth,9
201,Dumalneg,10
202,San Isidro,10
203,Balioeg,11
204,Bangsar,11
205,Barbarangay,11
206,Bomitog,11
207,Bugasi,11
208,Caestebanan,11
209,Caribquib,11
210,Catagtaguen,11
211,Crispina,11
212,Hilario (Pob.),11
213,Imelda,11
214,Lorenzo (Pob.),11
215,Macayepyep,11
216,Marcos (Pob.),11
217,Nagpatayan,11
218,Valdez,11
219,Sinamar,11
220,Tabtabagan,11
221,Valenciano (Pob.),11
222,Binacag,11
223,"Bgy. No. 42, Apaya",12
224,"Bgy. No. 36, Araniw",12
225,"Bgy. No. 56-A, Bacsil North",12
226,"Bgy. No. 56-B, Bacsil South",12
227,"Bgy. No. 41, Balacad",12
228,"Bgy. No. 40, Balatong",12
229,"Bgy. No. 55-A, Barit-Pandan",12
230,"Bgy. No. 47, Bengcag",12
231,"Bgy. No. 50, Buttong",12
232,"Bgy. No. 60-A, Caaoacan",12
233,"Bry. No. 48-A, Cabungaan North",12
234,"Bgy. No. 48-B, Cabungaan South",12
235,"Bgy. No. 37, Calayab",12
236,"Bgy. No. 54-B, Camangaan",12
237,"Bgy. No. 58, Casili",12
238,"Bgy. No. 61, Cataban",12
239,"Bgy. No. 43, Cavit",12
240,"Bgy. No. 49-A, Darayday",12
241,"Bgy. No. 59-B, Dibua North",12
242,"Bgy. No. 59-A, Dibua South",12
243,"Bgy. No. 34-B, Gabu Norte East",12
244,"Bgy. No. 34-A, Gabu Norte West",12
245,"Bgy. No. 35, Gabu Sur",12
246,Bgy. No. 32-C La Paz East,12
247,"Bgy. No. 33-B, La Paz Proper",12
248,"Bgy. No. 32-B, La Paz West",12
249,"Bgy. No. 54-A, Lagui-Sail",12
250,"Bgy. No. 32-A, La Paz East",12
251,"Bgy. No. 33-A, La Paz Proper",12
252,"Bgy. No. 52-B, Lataag",12
253,"Bgy. No. 60-B, Madiladig",12
254,"Bgy. No. 38-A, Mangato East",12
255,"Bgy. No. 38-B, Mangato West",12
256,"Bgy. No. 62-A, Navotas North",12
257,"Bgy. No. 62-B, Navotas South",12
258,"Bgy. No. 46, Nalbo",12
259,"Bgy. No. 51-A, Nangalisan East",12
260,"Bgy. No. 51-B, Nangalisan West",12
261,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",12
262,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",12
263,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",12
264,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",12
265,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",12
266,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",12
267,"Bgy. No. 57, Pila",12
268,"Bgy. No. 49-B, Raraburan",12
269,"Bgy. No. 53, Rioeng",12
270,"Bgy. No. 55-B, Salet-Bulangon",12
271,"Bgy. No. 6, San Agustin (Pob.)",12
272,"Bgy. No. 22, San Andres (Pob.)",12
273,"Bgy. No. 28, San Bernardo (Pob.)",12
274,"Bgy. No. 17, San Francisco (Pob.)",12
275,"Bgy. No. 4, San Guillermo (Pob.)",12
276,"Bgy. No. 15, San Guillermo (Pob.)",12
277,"Bgy. No. 12, San Isidro (Pob.)",12
278,"Bgy. No. 16, San Jacinto (Pob.)",12
279,"Bgy. No. 10, San Jose (Pob.)",12
280,"Bgy. No. 1, San Lorenzo (Pob.)",12
281,"Bgy. No. 26, San Marcelino (Pob.)",12
282,"Bgy. No. 52-A, San Mateo",12
283,"Bgy. No. 23, San Matias (Pob.)",12
284,"Bgy. No. 20, San Miguel (Pob.)",12
285,"Bgy. No. 21, San Pedro (Pob.)",12
286,"Bgy. No. 5, San Pedro (Pob.)",12
287,"Bry. No. 18, San Quirino (Pob.)",12
288,"Bgy. No. 8, San Vicente (Pob.)",12
289,"Bgy. No. 9, Santa Angela (Pob.)",12
290,"Bgy. No. 11, Santa Balbina (Pob.)",12
291,"Bgy. No. 25, Santa Cayetana (Pob.)",12
292,"Bgy. No. 2, Santa Joaquina (Pob.)",12
293,"Bgy. No. 19, Santa Marcela (Pob.)",12
294,"Bgy. No. 30-B, Santa Maria",12
295,"Bgy. No. 39, Santa Rosa",12
296,"Bgy. No. 14, Santo Tomas (Pob.)",12
297,"Bgy. No. 29, Santo Tomas (Pob.)",12
298,"Bgy. No. 30-A, Suyo",12
299,"Bgy. No. 31, Talingaan",12
300,"Bgy. No. 45, Tangid",12
301,"Bgy. No. 55-C, Vira",12
302,"Bgy. No. 44, Zamboanga",12
303,Pacifico (Agunit),13
304,Imelda (Capariaan),13
305,Elizabeth (Culao),13
306,Daquioag,13
307,Escoda,13
308,Ferdinand,13
309,Fortuna,13
310,Lydia (Pob.),13
311,Mabuti,13
312,Valdez (Biding),13
313,Tabucbuc (Ragas),13
314,Santiago,13
315,Cacafean,13
316,Acnam,14
317,Barangobong,14
318,Barikir,14
319,Bugayong,14
320,Cabittauran,14
321,Caray,14
322,Garnaden,14
323,Naguillan (Pagpag-ong),14
324,Poblacion,14
325,Santo Niño,14
326,Uguis,14
327,Aggasi,15
328,Baduang,15
329,Balaoi,15
330,Burayoc,15
331,Caunayan,15
332,Dampig,15
333,Ligaya,15
334,Pancian,15
335,Pasaleng,15
336,Poblacion 1,15
337,Poblacion 2,15
338,Saguigui,15
339,Saud,15
340,Subec,15
341,Tarrag,15
342,Caparispisan,15
343,Bacsil,16
344,Cabagoan,16
345,Cabangaran,16
346,Callaguip,16
347,Cayubog,16
348,Dolores,16
349,Laoa,16
350,Masintoc,16
351,Monte,16
352,Mumulaan,16
353,Nagbacalan,16
354,Nalasin,16
355,Nanguyudan,16
356,Oaig-Upay-Abulao,16
357,Pambaran,16
358,Pannaratan (Pob.),16
359,Paratong,16
360,Pasil,16
361,Salbang (Pob.),16
362,San Agustin,16
363,San Blas (Pob.),16
364,San Juan,16
365,San Pedro,16
366,San Roque (Pob.),16
367,Sangladan Pob. (Nalbuan),16
368,Santa Rita (Pob.),16
369,Sideg,16
370,Suba,16
371,Sungadan,16
372,Surgui,16
373,Veronica,16
374,Batuli,17
375,Binsang,17
376,Nalvo (Cababaan-Nalvo),17
377,Caruan,17
378,Carusikis,17
379,Carusipan,17
380,Dadaeman,17
381,Darupidip,17
382,Davila,17
383,Dilanis,17
384,Dilavo,17
385,Estancia,17
386,Naglicuan,17
387,Nagsanga,17
388,Ngabangab,17
389,Pangil,17
390,Poblacion 1,17
391,Poblacion 2,17
392,Poblacion 3,17
393,Poblacion 4,17
394,Pragata (Pragata-Bungro),17
395,Puyupuyan,17
396,Sulongan,17
397,Salpad,17
398,San Juan,17
399,Santa Catalina,17
400,Santa Matilde,17
401,Sapat,17
402,Sulbec,17
403,Surong,17
404,Susugaen,17
405,Tabungao,17
406,Tadao,17
407,Ab-abut,18
408,Abucay,18
409,Anao (Pob.),18
410,Arua-ay,18
411,Bimmanga,18
412,Boyboy,18
413,Cabaroan (Pob.),18
414,Calambeg,18
415,Callusa,18
416,Dupitac,18
417,Estancia,18
418,Gayamat,18
419,Lagandit,18
420,Libnaoan,18
421,Loing (Pob.),18
422,Maab-abaca,18
423,Mangitayag,18
424,Maruaya,18
425,San Antonio,18
426,Santa Maria,18
427,Sucsuquen,18
428,Tangaoan,18
429,Tonoton,18
430,Aglipay,19
431,Apatut-Lubong,19
432,Badio,19
433,Barbar,19
434,Buanga,19
435,Bulbulala,19
436,Bungro,19
437,Cabaroan,19
438,Capangdanan,19
439,Dalayap,19
440,Darat,19
441,Gulpeng,19
442,Liliputen,19
443,Lumbaan-Bicbica,19
444,Nagtrigoan,19
445,Pagdilao (Pob.),19
446,Pugaoan,19
447,Puritac,19
448,Sacritan,19
449,Salanap,19
450,Santo Tomas,19
451,Tartarabang,19
452,Puzol,19
453,Upon,19
454,Valbuena (Pob.),19
455,San Francisco (Pob.),20
456,San Ildefonso (Pob.),20
457,San Agustin,20
458,San Baltazar (Pob.),20
459,San Bartolome (Pob.),20
460,San Cayetano (Pob.),20
461,San Eugenio (Pob.),20
462,San Fernando (Pob.),20
463,San Gregorio (Pob.),20
464,San Guillermo,20
465,San Jose (Pob.),20
466,San Juan Bautista (Pob.),20
467,San Lorenzo,20
468,San Lucas (Pob.),20
469,San Marcos (Payas),20
470,San Miguel (Pob.),20
471,San Pablo,20
472,San Paulo (Pob.),20
473,San Pedro (Bingao),20
474,San Rufino (Pob.),20
475,San Silvestre (Pob.),20
476,Santa Asuncion (Samac),20
477,Santa Cecilia (Barabar),20
478,Santa Monica (Nagrebcan),20
479,San Agustin (Pob.),21
480,San Andres,21
481,San Antonio,21
482,San Bernabe,21
483,San Cristobal,21
484,San Felipe,21
485,San Francisco (Pob.),21
486,San Isidro,21
487,San Joaquin (Pob.),21
488,San Jose,21
489,San Juan,21
490,San Leandro (Pob.),21
491,San Lorenzo,21
492,San Manuel,21
493,San Marcos,21
494,San Nicolas,21
495,San Pedro,21
496,San Roque,21
497,San Vicente (Pob.),21
498,Santa Barbara (Pob.),21
499,Santa Magdalena,21
500,Santa Rosa,21
501,Santo Santiago,21
502,Santo Tomas,21
503,Aguitap,22
504,Bagbag,22
505,Bagbago,22
506,Barcelona,22
507,Bubuos,22
508,Capurictan,22
509,Catangraran,22
510,Darasdas,22
511,Juan (Pob.),22
512,Laureta (Pob.),22
513,Lipay,22
514,Maananteng,22
515,Manalpac,22
516,Mariquet,22
517,Nagpatpatan,22
518,Nalasin,22
519,Puttao,22
520,San Juan,22
521,San Julian,22
522,Santa Ana,22
523,Santiago,22
524,Talugtog,22
525,Abkir,23
526,Alsem,23
527,Bago,23
528,Bulbulala,23
529,Cabangaran,23
530,Cabayo,23
531,Cabisocolan,23
532,Canaam,23
533,Columbia,23
534,Dagupan,23
535,Pedro F. Alviar (Diaton),23
536,Dipilat,23
537,Esperanza,23
538,Ester,23
539,Isic Isic,23
540,Lubnac,23
541,Mabanbanag,23
542,Alejo Malasig,23
543,Manarang,23
544,Margaay,23
545,Namoroc,23
546,Malampa (Peninaan-Malampa),23
547,Parparoroc,23
548,Parut,23
549,Salsalamagui,23
550,San Jose (Lipay),23
551,San Nicolas (Pob.),23
552,San Pedro (Pob.),23
553,San Ramon (Pob.),23
554,San Roque (Pob.),23
555,Santa Maria (Pob.),23
556,Tamdagan,23
557,Visaya,23
558,Alilem Daya (Pob.),24
559,Amilongan,24
560,Anaao,24
561,Apang,24
562,Apaya,24
563,Batbato,24
564,Daddaay,24
565,Dalawa,24
566,Kiat,24
567,Bagbagotot,25
568,Banbanaal,25
569,Bisangol,25
570,Cadanglaan,25
571,Casilagan Norte,25
572,Casilagan Sur,25
573,Elefante,25
574,Guardia,25
575,Lintic,25
576,Lopez,25
577,Montero,25
578,Naguimba,25
579,Pila,25
580,Poblacion,25
581,Aggay,26
582,An-annam,26
583,Balaleng,26
584,Banaoang,26
585,Bulag,26
586,Buquig,26
587,Cabalanggan,26
588,Cabaroan,26
589,Cabusligan,26
590,Capangdanan,26
591,Guimod,26
592,Lingsat,26
593,Malingeb,26
594,Mira,26
595,Naguiddayan,26
596,Ora,26
597,Paing,26
598,Puspus,26
599,Quimmarayan,26
600,Sagneb,26
601,Sagpat,26
602,San Mariano (Sallacong),26
603,San Isidro,26
604,San Julian,26
605,Sinabaan,26
606,Taguiporo,26
607,Taleb,26
608,Tay-ac,26
609,Barangay 1 (Pob.),26
610,Barangay 2 (Pob.),26
611,Barangay 3 (Pob.),26
612,Barangay 4 (Pob.),26
613,Barangay 5 (Pob.),26
614,Barangay 6 (Pob.),26
615,Ambugat,27
616,Balugang,27
617,Bangbangar,27
618,Bessang,27
619,Cabcaburao,27
620,Cadacad,27
621,Callitong,27
622,Dayanki,27
623,Lesseb,27
624,Lubing,27
625,Lucaban,27
626,Luna,27
627,Macaoayan,27
628,Mambug,27
629,Manaboc,27
630,Mapanit,27
631,Poblacion Sur (Masingit),27
632,Nagpanaoan,27
633,Dirdirig (Dirdirig-Paday),27
634,Paduros,27
635,Patac,27
636,Poblacion Norte (Bato),27
637,Sabangan Pinggan,27
638,Subadi Norte,27
639,Subadi Sur,27
640,Taliao,27
641,Alinaay,28
642,Aragan,28
643,Arnap,28
644,Baclig (Pob.),28
645,Bato,28
646,Bonifacio (Pob.),28
647,Bungro,28
648,Cacadiran,28
649,Caellayan,28
650,Carusipan,28
651,Catucdaan,28
652,Cuancabal,28
653,Cuantacla,28
654,Daclapan,28
655,Dardarat,28
656,Lipit,28
657,Maradodon,28
658,Margaay,28
659,Nagsantaan,28
660,Nagsincaoan,28
661,Namruangan,28
662,Pila,28
663,Pug-os,28
664,Quezon (Pob.),28
665,Reppaac,28
666,Rizal (Pob.),28
667,Sabang,28
668,Sagayaden,28
669,Salapasap,28
670,Salomague,28
671,Sisim,28
672,Turod,28
673,Turod-Patac,28
674,Allangigan Primero,29
675,Allangigan Segundo,29
676,Amguid,29
677,Ayudante,29
678,Bagani Camposanto,29
679,Bagani Gabor,29
680,Bagani Tocgo,29
681,Bagani Ubbog,29
682,Bagar,29
683,Balingaoan,29
684,Bugnay,29
685,Calaoaan,29
686,Calongbuyan,29
687,Caterman,29
688,Cubcubboot,29
689,Darapidap,29
690,Langlangca Primero,29
691,Langlangca Segundo,29
692,Oaig-Daya,29
693,Palacapac,29
694,Paras,29
695,Parioc Primero,29
696,Parioc Segundo,29
697,Patpata Primero,29
698,Patpata Segundo,29
699,Paypayad,29
700,Salvador Primero,29
701,Salvador Segundo,29
702,San Agustin,29
703,San Andres,29
704,San Antonio (Pob.),29
705,San Isidro (Pob.),29
706,San Jose (Pob.),29
707,San Juan (Pob.),29
708,San Nicolas,29
