id,region_name,region_code
1,Ilocos Region,Region I
2,Cagayan Valley,Region II
3,Central Luzon,Region III
4,CALABARZON,Region IV-A
17,MIMAROPA,Region IV-B
5,Bicol Region,Region V
6,Western Visayas,Region VI
7,Central Visayas,Region VII
8,Eastern Visayas,Region VIII
9,Zamboanga Peninzula,Region IX
10,Northern Mindanao,Region X
11,Davao Region,Region XI
12,SOCCSKSARGEN,Region XII
13,National Capital Region,NCR
14,Cordillera Administrative Region,CAR
15,Autonomous Region in Muslim Mindanao,ARMM
16,Caraga,Region XIII 
